Timestamp,Temperature_C,Humidity_%,Light_raw
10-09-2026 17:52:37,23.8,49.0,43
10-09-2026 17:52:37,23.8,49.0,44
10-09-2026 17:52:37,23.8,49.0,43
10-09-2026 17:52:37,23.8,49.0,49
10-09-2026 17:52:38,23.8,49.0,46
10-09-2026 17:52:40,23.8,49.0,37
10-09-2026 17:52:42,23.8,49.0,46
10-09-2026 17:52:44,23.8,49.0,39
10-09-2026 17:52:46,23.8,49.0,31
10-09-2026 17:52:48,23.8,49.0,40
10-09-2026 17:52:50,23.8,49.0,38
10-09-2026 17:52:52,23.8,49.0,38
10-09-2026 17:52:54,23.8,49.0,49
10-09-2026 17:52:56,23.8,49.0,35
10-09-2026 17:52:58,23.8,49.0,49
10-09-2026 17:53:00,23.8,49.0,33
10-09-2026 17:53:02,23.8,49.0,47
10-09-2026 17:53:04,23.8,49.0,29
10-09-2026 17:53:06,23.8,49.0,44
10-09-2026 17:53:08,23.8,49.0,35
10-09-2026 17:53:10,23.8,49.0,41
10-09-2026 17:53:12,23.8,49.0,44
10-09-2026 17:53:15,23.8,49.0,46
10-09-2026 17:53:17,23.8,49.0,44
10-09-2026 17:53:19,23.8,49.0,44
10-09-2026 17:53:21,23.8,49.0,38
10-09-2026 17:53:23,23.8,49.0,44
10-09-2026 17:53:25,23.8,49.0,37
10-09-2026 17:53:27,23.8,49.0,45
10-09-2026 17:53:29,23.8,49.0,38
10-09-2026 17:53:31,23.8,49.0,47
10-09-2026 17:53:33,23.8,49.0,35
10-09-2026 17:53:35,23.8,49.0,49
10-09-2026 17:53:37,23.8,49.0,36
10-09-2026 17:53:39,23.8,49.0,48
10-09-2026 17:53:41,23.8,49.0,32
10-09-2026 17:53:43,23.8,49.0,37
10-09-2026 17:53:45,23.8,49.0,49
10-09-2026 17:53:47,23.8,49.0,28
10-09-2026 17:53:49,23.8,49.0,44
10-09-2026 17:53:51,23.8,49.0,37
10-09-2026 17:53:53,23.8,49.0,37
10-09-2026 17:53:55,23.8,49.0,36
10-09-2026 17:53:57,23.8,49.0,37
10-09-2026 17:53:59,23.8,49.0,30
10-09-2026 17:54:01,23.8,49.0,39
10-09-2026 17:54:03,23.8,49.0,34
10-09-2026 17:54:05,23.7,49.0,50
10-09-2026 17:54:07,23.7,49.0,45
10-09-2026 17:54:09,23.6,49.0,51
10-09-2026 17:54:11,23.6,49.0,45
10-09-2026 17:54:13,23.6,49.0,50
10-09-2026 17:54:15,23.5,49.0,40
10-09-2026 17:54:17,23.5,49.0,57
10-09-2026 17:54:19,23.5,49.0,40
10-09-2026 17:54:21,23.4,49.0,50
10-09-2026 17:54:23,23.4,49.0,42
10-09-2026 17:54:26,23.4,49.0,46
10-09-2026 17:54:28,23.4,49.0,50
10-09-2026 17:54:30,23.4,49.0,46
10-09-2026 17:54:32,23.4,49.0,51
10-09-2026 17:54:34,23.4,49.0,45
10-09-2026 17:54:36,23.4,49.0,58
10-09-2026 17:54:38,23.4,49.0,42
10-09-2026 17:54:40,23.4,49.0,58
10-09-2026 17:54:42,23.4,49.0,42
10-09-2026 17:54:44,23.4,49.0,53
10-09-2026 17:54:46,23.4,49.0,47
10-09-2026 17:54:48,23.4,49.0,48
10-09-2026 17:54:50,23.4,49.0,53
10-09-2026 17:54:52,23.4,49.0,41
10-09-2026 17:54:54,23.4,49.0,54
10-09-2026 17:54:56,23.4,49.0,46
10-09-2026 17:54:58,23.4,49.0,41
10-09-2026 17:55:00,23.4,49.0,51
10-09-2026 17:55:02,23.4,49.0,58
10-09-2026 17:55:04,23.4,49.0,51
10-09-2026 17:55:06,23.4,49.0,42
10-09-2026 17:55:08,23.4,49.0,43
10-09-2026 17:55:10,23.4,49.0,53
10-09-2026 17:55:12,23.4,49.0,55
10-09-2026 17:55:14,23.4,49.0,41
10-09-2026 17:55:16,23.4,49.0,51
10-09-2026 17:55:18,23.4,49.0,56
